34,19
79,14
24,33
7,78
58,70
8,7
24,44
99,70
26,45
93,83
99,83
14,15
80,76
61,11
16,68
85,40
20,10
18,6
24,34
32,20
39,3
94,89
95,40
42,4
53,32
87,83
50,5
56,74
12,60
77,38
50,88
29,46
97,30
43,1
5,8
93,9
24,98
59,24
49,82
91,92
98,8
75,5
17,35
9,90
96,96
99,71
91,13
94,99
7,41
52,96
59,53
59,13
75,46
13,52
35,86
69,42
24,64
62,12
87,80
28,78
72,49
1,70
40,12
40,96
33,61
56,19
73,84
67,89
2,93
89,49
3,82
71,39
39,50
75,97
49,59
36,34
21,49
73,25
94,67
96,20
6,71
95,33
34,22
33,77
61,48
45,25
98,2
64,59
96,74
61,94
84,94
34,41
72,79
35,62
50,70
68,32
6,9
27,36
21,95
36,1
55,73
55,22
67,92
88,58
99,7
90,68
73,23
89,65
3,86
25,45
96,19
30,84
56,73
33,60
13,45
35,68
33,95
19,19
46,9
54,78
98,73
54,17
93,88
44,55
34,76
99,66
25,24
27,12
33,21
15,72
85,22
54,72
93,1
58,30
75,15
45,48
88,62
68,74
18,46
11,48
39,14
44,59
19,5
80,32
54,68
99,73
11,82
96,89
77,31
14,2
86,82
15,75
12,19
66,10
17,58
76,62
32,21
60,84
61,87
79,46
84,92
32,99
57,94
31,82
78,92
52,14
11,96
89,57
60,50
7,25
59,96
96,2
79,81
73,44
31,12
87,45
39,29
80,20
91,36
2,96
32,45
59,83
76,48
70,71
68,21
68,56
7,44
1,55
91,38
31,69
4,23
38,98
77,70
37,36
76,94
22,61
22,13
41,61
8,39
26,83
20,55
52,75
25,92
90,92
24,93
3,26
54,77
39,62
6,74
12,90
71,65
80,92
81,76
32,30
25,80
97,40
45,37
82,88
66,43
38,72
84,9
79,19
50,41
67,77
79,53
40,53
32,53
33,89
85,78
79,11
48,91
2,75
22,12
4,35
90,4
86,37
23,4
75,81
59,88
74,67
96,79
77,34
12,73
14,34
62,18
61,55
91,4
23,5
73,79
81,89
47,95
56,11
37,58
22,87
46,7
80,43
8,84
99,71
63,50
23,94
81,55
70,52
66,55
18,30
72,4
7,61
85,47
31,3
72,14
79,37
68,84
79,96
5,62
11,44
31,18
36,24
62,9
26,23
82,93
19,38
35,5
89,92
50,97
73,8
21,66
25,73
86,30
38,8
30,63
29,60
61,18
97,57
70,57
67,24
46,78
26,97
27,64
60,61
84,92
16,6
23,76
58,69
52,51
93,36
71,98
98,65
92,4
28,16
18,38
56,47
58,74
13,64
58,22
76,79
29,91
61,59
62,59
4,31
17,73
55,31
65,37
85,39
64,38
14,6
63,50
74,16
20,60
26,76
90,79
13,92
19,59
86,15
72,94
4,3
30,25
6,22
91,8
76,93
10,89
21,16
16,48
29,90
26,21
82,56
26,92
66,83
85,70
38,5
34,18
25,60
35,49
95,25
80,99
80,78
62,40
79,21
24,50
45,64
71,52
69,13
18,81
58,64
60,14
36,45
71,23
55,15
73,95
51,39
7,61
27,74
48,78
96,78
91,29
73,67
45,58
49,37
65,24
31,85
71,79
72,37
60,66
5,13
85,21
70,49
93,99
72,98
94,6
48,32
62,21
82,61
34,53
55,7
15,56
47,31
40,75
11,64
19,61
5,33
5,96
21,23
11,81
87,3
23,28
86,8
31,21
68,43
23,61
92,80
58,75
93,20
88,12
85,97
16,84
10,89
64,1
44,15
72,33
71,70
52,65
31,18
39,80
42,44
91,14
36,5
36,37
76,3
33,12
5,90
62,66
93,33
93,19
52,60
44,40
42,22
97,44
75,58
73,15
42,30
18,54
35,9
35,56
25,68
89,10
45,79
23,1
55,44
17,50
29,82
35,47
39,13
72,2
82,9
67,93
27,2
76,33
11,7
87,8
92,38
68,44
60,88
3,39
13,40
60,98
32,86
2,58
26,30
87,83
91,34
3,49
74,92
40,12
54,95
76,27
50,65
76,67
70,24
57,91
8,73
40,81
88,62
47,37
84,96
48,44
10,84
8,74
88,72
74,60
31,59
25,4
93,41
21,39
73,77
87,31
5,31
76,23
99,86
25,8
23,69
58,49
19,90
